file,left1,top1,right1,bottom1,left2,top2,right2,bottom2
46fa57be-eafb-4431-841c-3a9258139fe9.png,181,528,376,702,,,,
9b19d8e9-16b4-4a69-bcf0-181d4709d3f0.png,161,280,468,810,551,280,898,842
df13cd6b-0b39-40ee-811c-9df848963965.png,203,430,461,590,,,,
3866065a-3fb7-4253-97ef-930ab899a723.png,358,177,483,404,604,178,761,301
3c8e008b-261a-4f4e-bbb3-d3651cfd7dfa.png,332,532,472,822,,,,
d974dbc0-5e7d-4aac-bda5-f29096aeeb5a.png,82,554,263,759,,,,
c533a5ed-72a3-45bf-bae3-1ed9595a9bcd.png,197,477,418,660,,,,
0927e819-9640-487d-a04e-f5d4732dbe0a.png,536,336,762,598,,,,
a5dcb09b-5ae9-47a6-a561-524d7838b22c.png,667,264,910,520,172,238,497,533
0aa43663-a1f3-44cb-8ecc-9b36fbb0d778.png,486,129,883,778,137,155,431,759
baf2a126-f441-4566-9b85-59c1f2cdaf96.png,184,347,394,507,,,,
aa542085-6557-457e-b897-43591ce22108.png,509,676,753,1011,48,478,362,921
b6271674-f13d-4087-ae03-d6ae35381dfc.png,274,463,422,659,,,,
b13ff5d7-7ba5-4cf4-9ff0-e87e87c3489c.png,218,317,488,828,606,281,865,596
960e8747-cfc9-49d5-8bb5-47513f50be0c.png,180,79,418,552,516,78,733,417
590adf90-b0e6-40df-9500-85b6bfd85e21.png,124,525,318,849,558,192,800,627
c42f4515-1bf2-4f63-a815-fa2e5bd45016.png,88,236,374,745,404,234,702,757
be033abc-95d1-4d7f-baa8-2bece16b67aa.png,179,353,415,696,,,,
3bba8ae0-61b8-4682-8b16-2e08078878b9.png,122,621,220,704,241,463,432,721
757438a0-081e-45e5-9896-ba91f82d3055.png,219,454,398,686,750,534,876,779
94211273-5b21-47fa-bbe0-7496e66672ac.png,621,263,787,517,185,703,397,867
2afaf9b4-664c-4c87-b9f5-4e411789da5d.png,663,243,761,439,,,,
0c77d941-5f63-4e2a-9c1e-4a58043acd55.png,582,315,940,547,,,,
8d5c67de-61a3-49ee-9f57-49e13ed92ed2.png,672,341,880,685,,,,
73286fe9-2e42-4a75-b071-a4c2173672a4.png,264,350,461,787,631,403,843,836
8b7faeea-4312-42a0-876c-bf8b1ead07e8.png,291,205,589,892,634,180,935,928
c4c4ba61-e74c-4c47-834f-6dbd46ec7d63.png,536,158,827,670,238,179,469,644
3cfaf293-a1a0-4130-b994-ad3df8a4008c.png,200,460,348,755,,,,
62ce6e7f-e6f9-400f-81aa-1efd9301e256.png,248,441,366,561,630,301,763,517
290e32e9-3632-4642-a1d4-70c975d376b7.png,543,275,716,608,261,300,411,600
5f52ae89-20ba-4536-8313-4395f5742f49.png,286,322,460,677,,,,
35ffa64a-fc84-4582-95ad-40d4eab93197.png,242,168,420,346,,,,
a0930be8-f005-4141-a181-c1494cba358f.png,228,167,541,936,,,,
f530bed2-b5bf-4240-892d-ced0140d1a8e.png,184,480,381,665,,,,
bdfea255-f9dc-4694-b0fe-d699aec5b10e.png,591,190,740,469,,,,
c9ef5f00-e918-46d6-897f-ee78fc1310d5.png,128,251,418,773,517,190,886,827
e444b79e-a477-4668-9a69-7b5ade5bb214.png,191,371,395,837,,,,
3c0f1edd-10c2-46da-a01c-a151aa88f2df.png,184,406,440,840,626,428,871,718
23f653b7-5388-4213-98c6-418aa9eb980d.png,730,460,874,603,,,,
b52244ed-5e8f-4ab6-a2b0-9bed4ab0ff2a.png,170,183,441,649,,,,
7b7d7bf3-0684-465d-9a74-f51887685387.png,201,578,358,737,,,,
f630809e-2498-44af-beaa-dda23a36cf20.png,296,319,459,572,,,,
01fa0f5e-00c3-41cb-b5c7-10600c8633ae.png,602,438,703,539,364,419,460,540
eb0cc4c8-4ce7-46b9-9ad2-c4bb71fcbf59.png,224,547,431,741,660,548,888,751
